0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p,7_n,7_l,7_p,8_n,8_l,8_p,9_n,9_l,9_p,10_n,10_l,10_p,11_n,11_l,11_p,12_n,12_l,12_p,13_n,13_l,13_p,14_n,14_l,14_p,15_n,15_l,15_p,16_n,16_l,16_p
PDGFRB,4.4742336,1.42877625776593e-153,SLFN12L,4.818661,3.972870655589984e-148,NUPR1,4.795953,8.364429560768237e-148,PRF1,6.1063967,1.90672227797892e-152,TNXB,5.5225124,1.7788770965895888e-130,FGD5,6.9673157,1.97772277471129e-156,PRKCH,4.9475794,1.8523399231632603e-103,CYP26B1,5.4741864,3.650967674708436e-44,MNDA,4.9321194,6.440221238963867e-40,SEMA3G,7.9213095,1.0169550997243781e-78,ADAMTS9-AS2,4.150187,3.4971848011404404e-69,PARM1,3.5894988,2.251549860186155e-22,RUNX1,4.0514255,2.5519184443016635e-28,SORBS2,5.6285768,4.1668708656536183e-41,DAPK1,6.7596087,4.512142668751549e-21,RPS6KA3,4.0135994,2.2293620474431777e-07,GULP1,6.0282664,8.136769234472303e-13
PLAC9,4.515463,3.4162944466347965e-150,CORO1A,4.8545775,1.518751431349185e-147,CALM2,1.9606498,1.852000518966864e-147,CD8A,7.518395,3.1077041802755754e-151,MARCKS,5.1727605,2.435723937829934e-129,RBP7,7.605371,3.002201007305562e-156,LINC00299,6.4209785,5.044271812602829e-102,MYL9,4.0593343,4.982620958638728e-44,SKAP2,4.2702518,7.224386955323098e-40,LPCAT2,6.135265,1.6189586110617747e-77,MAML3,4.477842,7.931429357878902e-69,PHLDB1,3.6825936,1.2170754045458396e-21,BATF,5.268127,2.5519184443016635e-28,SAMHD1,4.5754094,5.352395439926364e-41,CNKSR3,6.591368,6.130072159377145e-21,LAT2,5.2155123,2.2767334769858356e-07,SLC24A5,10.466662,9.600119571783719e-13
MYLK,4.4289546,8.824950042059169e-147,ACAP1,4.9491277,1.6388486028774098e-147,MT2A,3.7171578,1.8230890470965348e-144,RASGRP1,5.4279575,1.4064433478392197e-148,COL5A2,5.270149,1.7749695571618853e-127,RASAL2,5.3324213,6.393390177917479e-155,NCAM1,6.900372,5.700525303288484e-102,OLFM2,4.6496835,1.873008376140779e-43,DAPP1,5.438857,8.794808563886134e-40,APP,4.3887334,3.2538992951152955e-77,COBLL1,3.971136,5.707162194439433e-68,SH3D19,2.9497194,3.9724895958728674e-21,GBP5,5.2697606,3.980957298684377e-28,GPR155,6.4187503,5.545117825168994e-41,PLCB4,5.752488,7.969215865128539e-21,RUNX2,4.212104,2.3479137776759102e-07,APOD,6.3234353,1.278767125146225e-12
AEBP1,4.4134912,6.325959496333077e-146,GRAP2,5.2680135,1.1473827295723914e-145,IGFBP7,3.6030426,2.8940479440517527e-144,SCML4,5.561135,5.094328150151807e-147,PLPP3,4.922393,9.878922058693104e-127,SASH1,5.451517,7.289610906308684e-155,PTGDR,5.9385934,6.862958619650727e-102,LAMA4,3.9969308,3.6214274709446355e-43,SNX29,4.0149484,1.7673556152218727e-39,SHANK3,6.7060676,7.079924593448524e-77,MYOM1,5.8376203,6.6466896806303155e-68,PDE5A,3.088552,4.481720233219227e-21,CD96,4.622419,9.032597659352857e-28,MPZ,11.114643,1.0222455190373661e-40,AFAP1L1,6.4695096,9.919497129592322e-21,RAB11FIP1,4.2951283,2.74487831341517e-07,PHLPP1,5.631929,1.848827751193948e-12
GUCY1A2,5.9684978,5.432867629732786e-145,RCAN3,5.1985245,7.328859781106961e-144,UBA2,3.819592,2.408219936271607e-143,GIMAP7,5.12665,1.6112660162874264e-146,PLEKHH2,5.2016115,1.1452003882971974e-126,SHROOM4,6.7441473,2.0248369966052284e-154,ADGRG1,6.4342966,4.5585045028323376e-100,GJC1,4.475128,1.4729940783797702e-42,SNX10,4.716035,6.285671056204543e-39,SOX18,6.9135904,8.126251629891601e-77,ANK2,4.7104583,4.703747044177464e-67,KCNT2,3.9420967,1.0658847140876195e-20,CYTIP,4.5164347,1.448140331766484e-27,PDE1C,8.196296,2.3874845753755794e-40,TGFBR2,3.3993433,1.1023628953794534e-20,CD37,4.418803,3.1563639127343163e-07,PTPRM,5.527136,1.900576333011291e-12
SLC7A2,4.790838,1.3066387188394903e-143,CARD11,5.038549,2.3672175804475745e-143,CHCHD10,4.206204,2.7791254999502705e-143,LINC01871,6.164187,5.39109961323201e-146,VIT,7.7817583,7.033881281935911e-126,UACA,5.334247,4.6987766484456377e-153,CD300A,6.765917,1.2160950822285164e-99,STEAP4,4.461955,5.877268848560707e-42,SHTN1,5.0544147,6.315024318728619e-39,TJP1,4.7184167,6.669032767236277e-76,MCAM,4.709272,5.047714644286573e-67,RUNX1T1,3.056793,1.2620112829777589e-20,HCST,4.6646338,1.5575466265060428e-27,COBL,9.571085,4.898909752852414e-39,ABI3BP,6.0536413,1.2983708726357221e-20,STAP1,6.169691,3.3569636609910753e-07,CDC42EP3,5.2423515,1.937989823366415e-12
COL5A2,4.477531,9.044533404330203e-143,CD28,6.270098,4.409724194227969e-141,NDUFB7,3.4082656,9.200579224977108e-143,DOCK2,5.1847024,1.705855546170881e-143,FBN1,5.0858617,1.1555478163307375e-125,CCSER1,6.774369,1.8309668571435736e-152,IL2RG,5.523444,1.3583011471237253e-99,MAP1B,4.019617,8.022600086825969e-42,RTN1,6.6414127,8.093911723753391e-39,GNAQ,3.9200783,1.4107674135144207e-74,MARK1,5.4194927,8.794409558248608e-67,ADGRL2,3.4150088,1.4244451790023766e-20,LCP2,4.387924,2.1843305205305784e-27,SEMA3B,9.140851,1.3900822790606918e-38,LINC01515,6.874329,1.5335482632628384e-20,MPG,4.188899,3.3674114060373077e-07,CYB561A3,6.615131,2.434522889568083e-12
ADAMTS9-AS2,4.171567,4.317063833580885e-142,CD37,4.7457995,1.2843978309135206e-140,RPL23,1.7694718,9.369407300301815e-142,SH3BGRL3,3.9543276,2.3406907726623796e-143,ADH1B,5.74731,7.902558421582567e-123,GNG11,5.252172,4.654675668420318e-150,STK10,5.099991,9.706693842197842e-99,AHRR,4.9922457,2.064755049747904e-41,FCGR2A,6.840359,1.9738689985632935e-38,HEG1,5.2885838,1.5073994373401206e-74,ACTA2,4.6756077,1.0075769050154594e-66,MICU3,3.4315631,1.9071781125322634e-20,SLA,4.6979814,2.1968730283227957e-27,AL139383.1,7.3974233,7.142210748655785e-38,NHSL1,6.4462023,2.3556437731451955e-20,TNFSF14,5.099883,3.8817175752874384e-07,MYO5A,4.9772134,2.7225016355562963e-12
COL4A2,4.0433292,1.2031137662357046e-140,SARAF,3.1947095,4.225375736365392e-140,IFITM3,3.9613101,2.1497560379215426e-141,STAT4,5.1029835,5.184425653286613e-142,SGCD,6.0722957,4.6547769937711684e-122,ROBO4,7.9394493,3.7864327304096e-149,TTC38,6.526248,1.1353042437236636e-98,RASL11A,4.2581267,2.6089456488647697e-41,CD14,6.34381,2.666394154469491e-38,CDC42BPA,4.5616617,6.450784276603877e-73,DGKB,6.7219906,1.7849992840872717e-66,ADAMTS12,4.042699,2.028386952903984e-20,GLCCI1,4.2700667,2.6257636201070065e-27,DIP2B,4.7142253,1.0642028599665756e-37,CLDN5,6.381236,2.5462993492335855e-20,IKZF1,4.5316863,3.8817175752874384e-07,AKAP12,5.772513,5.141315666885901e-12
COL18A1,4.042691,1.682842507959697e-140,TRAF3IP3,4.812663,1.9805552902492313e-139,FAU,1.7109479,3.6194522570838537e-140,ARHGAP15,4.838118,1.3352857531924343e-141,GSN,3.6320367,4.687657716894077e-120,PCAT19,7.744486,1.413458687169053e-148,ID2,4.93395,2.4426076115734213e-96,LAPTM4A,2.9363534,5.753080294168485e-41,TET3,4.4739943,2.8206620239509464e-38,FBXL7,5.052581,1.6671752402021222e-72,ZBTB7C,6.257038,1.8994251510150635e-66,LPP,1.3477811,2.1502512266413195e-20,CHST11,3.960963,3.2888855807723916e-27,PRNP,4.9548235,1.2499037044651307e-37,LRMDA,4.932641,2.614447455991381e-20,GMFG,4.236754,3.9045521537081734e-07,NLGN1,6.806143,5.159531925577166e-12
FABP4,4.7477245,3.693060056912769e-137,ZC3HAV1,3.9075918,3.197150103566675e-135,RPS10,2.5456853,4.523655632681767e-140,GZMH,6.41396,2.5491553411978851e-141,ROBO2,6.6259336,5.4109177030906136e-120,ST6GALNAC3,6.597986,1.816690134199515e-148,INPP5D,5.2376456,2.4579640948644197e-96,AUTS2,3.1254072,4.039627502118172e-40,AC020656.1,7.9044814,1.0804796385608433e-37,PIK3R3,6.3929267,3.148656311212908e-72,MRVI1,5.143831,2.0944922808455356e-66,LIMA1,2.6079242,2.2753255689009698e-20,PAG1,4.254169,4.491643918916046e-27,CLIC4,4.6354585,1.5521381054349963e-37,KANK3,6.0124784,5.530562810610593e-20,TNFSF4,7.4642615,5.998343703799445e-07,MARCKS,5.559631,9.95865416157822e-12
EBF1,3.9362724,9.147796378108458e-137,TAGAP,4.7983184,7.896552532774015e-135,MGP,4.8824234,5.260432076650787e-140,ARAP2,5.056064,7.685261973495983e-140,THBS2,7.7811217,6.38553265724719e-120,MYRIP,7.4252105,3.475640742018896e-148,IKZF3,5.686776,7.086113625465107e-96,CPM,4.083969,5.036923671768136e-40,FMN1,5.8501368,1.6250839879129747e-37,THSD7A,6.1345496,1.2903564336280969e-71,L3MBTL4,4.9712996,7.354674072414518e-66,TACC1,1.9765277,2.2798771008294088e-20,CD48,4.433842,4.8511927793868086e-27,THSD7A,6.5921626,1.6223893392603384e-37,SCN3B,9.657676,1.0619261310616161e-19,MMP25,6.187254,6.403125905795943e-07,CPEB2,5.4538727,1.5034408926149125e-11
CD63,1.976152,9.147796378108458e-137,TNIK,4.704556,4.0260530939977703e-134,CAVIN3,4.6495214,4.819961692943326e-139,LINC00861,5.5084724,2.157849164502566e-139,TWIST2,6.3567934,1.8626302549976292e-119,STOX2,7.032474,1.1357595932007511e-147,APBB1IP,5.3399034,1.0397726175198642e-94,PCOLCE,3.8621044,6.663551676920739e-40,GRB2,3.7440248,1.8165410725511138e-37,KCTD12,5.104387,2.7605235499784963e-71,MALAT1,0.478598,7.826453562106929e-65,PKD2,3.0922804,2.3809944001908095e-20,RTKN2,6.95315,6.3298112365615964e-27,ARHGEF26,7.3798723,1.2393880924175796e-36,THSD7A,5.9913797,1.3563454176309814e-19,GATA3,4.6341596,6.459516845763724e-07,COL24A1,6.979221,1.9607192821123167e-11
RBMS3,3.8787487,9.147796378108458e-137,CYTH1,4.162043,1.0093547670165417e-133,CAP2,5.953831,1.4899375296610427e-138,GNLY,5.930159,1.6890675498000814e-138,COL15A1,5.3217506,3.5750844515066344e-119,ELMO1,4.795882,1.4687400799577106e-147,HIPK2,4.96159,3.856333048650184e-94,SEMA6D,4.3204746,7.420122339061143e-40,MTSS1,3.891761,1.9219924804775858e-37,PREX2,5.566995,1.586932835923268e-70,LUC7L3,2.081966,1.338345108916093e-64,RGS6,3.7490995,4.310793198278056e-20,PTPRJ,4.3738866,7.146594340473624e-27,GFRA3,12.150217,1.5983415395957067e-36,FBXL7,5.0293856,1.8845056497073102e-19,JAML,4.730637,6.464176532502979e-07,SAP30,6.055256,2.35200620631693e-11
EPHX1,3.997085,4.633600645968226e-134,CD226,4.9588423,9.219082689149074e-133,EEF1G,2.3421223,2.114593887518597e-138,GMFG,4.808141,2.785139379247893e-138,GPNMB,5.111106,1.222153070446827e-118,GALNT18,6.354932,2.643287536507479e-146,ARPC5L,5.15948,4.970312527272765e-94,GPM6B,4.4586167,3.724753790928047e-39,SAT1,3.8360252,1.9219924804775858e-37,EPHA4,5.62513,2.6733990131128145e-70,TBX2,5.613397,1.5212841207865838e-63,EXT1,2.91058,7.686394836620958e-20,TLK1,3.618805,8.156624119049625e-27,LSAMP,7.6505294,2.151354714454582e-36,PECAM1,5.5134034,2.6374568649777743e-19,ANK3,4.537679,6.510256235156936e-07,NEO1,5.8185964,2.5150174694720658e-11
ITGA7,4.689562,1.0513324527351893e-133,MBP,4.4167867,1.0738034203723017e-132,RPL18,1.6307204,5.064143503572407e-137,FAM49B,4.77054,7.148526929005474e-138,EMP1,4.7599792,3.6835197034960176e-118,PLCB1,4.7641315,4.078725988507196e-146,STAT4,5.2399793,2.811813806007576e-93,ARHGAP10,3.266198,4.564592832891123e-39,SLC43A2,5.89064,2.97630650914611e-37,TIE1,6.6463747,2.6733990131128145e-70,MYOCD,5.8792734,1.9265965471989474e-63,CRIM1,2.6229942,8.547793175056175e-20,SH3BGRL3,2.9492323,8.156624119049625e-27,DOK6,5.839344,5.070949885969203e-36,LMO2,6.2782774,3.7595674394660563e-19,VDAC1,4.019791,6.691951995515719e-07,CADM2,7.1578884,2.762147479320938e-11
SPARC,3.7873025,5.89343681493323e-133,CHST11,4.1773386,1.704566803416727e-132,RPS11,1.657851,1.8243441157475154e-135,RHOH,5.3244,5.5309157014463504e-136,TIMP2,4.5267158,8.8247912466171e-117,TACR1,6.907861,1.86187295440687e-145,GSAP,5.4963875,7.978282707055835e-93,IGFBP7,3.128174,5.0638932166287846e-39,PAK1,4.4062543,8.60744395526024e-37,FGD5,6.174858,6.531167600423111e-70,ARHGAP6,4.421501,3.418872937668723e-63,MKLN1,1.6337407,8.547793175056175e-20,IKZF3,4.6270437,9.52577982143318e-27,HSPG2,5.3976765,1.2566349541834197e-35,STON2,6.9697175,5.04138591045714e-19,BACH2,4.3214984,8.499370044913994e-07,RNF144A,5.6901407,3.318816724893884e-11
PCDH9,5.0837746,1.2367287848726777e-132,COTL1,4.925937,7.506062210715887e-132,RPL5,1.6046937,1.907365367293705e-135,PRKCH,4.6712,1.2226052169083689e-135,SFRP2,8.652935,1.9760329429461268e-114,FLI1,4.9072013,5.281955009453497e-145,PDGFD,5.7590256,3.96044118037092e-91,SERPING1,3.5966713,7.531972030132949e-39,OGFRL1,4.050512,1.8659587026708448e-36,DOCK4,5.453711,9.874435410459009e-70,RUNX1T1,3.847662,4.532886529533615e-63,FTX,1.4534564,2.0180949642420218e-19,EVL,3.8098254,3.100995090321266e-26,SNCA,7.806825,2.737177123551002e-35,NR2F1-AS1,6.2734957,7.035587619809972e-19,IL2RG,4.485643,8.499370044913994e-07,GNAI1,5.5578885,3.416620530236143e-11
DLC1,3.9458,3.756015951008121e-132,DOCK10,3.9027166,5.0479823641251965e-130,NDUFA4L2,5.6141415,1.1345690495204854e-134,ANKRD44,4.5666656,1.6995835609076167e-135,EGFR,4.8827124,2.828535293852768e-113,ARHGAP29,5.2636256,1.0730380342107192e-144,SYTL3,5.474584,4.2385996518094423e-91,TPM2,4.09599,1.5345292797784647e-38,MFSD1,4.2666664,6.710799549308073e-36,ITGA6,5.402612,1.2136141905558987e-69,CCDC3,5.0393105,2.825261509753629e-62,KIF13A,2.8993576,4.2873595612731445e-19,TRAF3IP3,4.4682665,4.3316744593169303e-26,PLPP1,4.31902,3.1315254983336465e-35,LAMA4,5.0057325,7.035587619809972e-19,TNFSF10,4.164013,8.499370044913994e-07,CD59,4.2462964,7.151330283709524e-11
GGT5,4.976751,2.344674777241693e-131,STK10,4.3124585,6.257207539378303e-130,CD63,2.529304,3.453053917881805e-134,CCDC88C,4.955373,1.1161157874560743e-134,APOE,5.1345325,1.0271935461401324e-112,RIN2,5.3668146,2.407503131137525e-144,SPN,5.6399093,1.6256555920000964e-90,TPM1,3.4260798,2.078702823649115e-38,CPPED1,4.5378847,1.911882167730852e-35,FRMD4B,5.390951,1.5265020015408702e-69,MSRB3,4.242444,1.1105525307719276e-61,TNS1,3.1007638,4.58062139385231e-19,EML4,3.4094799,5.116498669559336e-26,SPATA6,5.4651604,3.6103069814716826e-35,AC083837.1,7.861464,9.1086939198857e-19,RASGEF1B,4.415398,8.835333627901466e-07,PDZD2,6.1919527,7.22716747090356e-11
SYTL2,3.933885,7.46571406038754e-130,SLAMF1,5.941541,7.33867487548245e-129,RPL10A,1.7431136,1.0661418301299925e-133,HCLS1,4.875012,5.053069042123669e-133,FOXP2,7.140025,9.658005977357178e-112,CDH13,5.778476,3.251516018250564e-144,LINC00861,5.659703,4.62123013275197e-90,CRIP1,2.366243,4.86899723119443e-38,SGK1,4.4582443,1.968647496561173e-35,HIF3A,5.7913446,5.896023653258778e-69,ITGA7,4.962393,2.0104259624733482e-61,NAALADL2,3.079989,4.943951047306606e-19,RHOH,4.537907,3.6829778645584507e-25,NEGR1,5.527225,4.75606267437809e-35,GLIS3,5.6986785,9.1086939198857e-19,TMEM123,3.8377318,9.015855674991382e-07,FADS2,6.577152,7.230606279275516e-11
CSRNP3,4.8932924,1.7754919709275304e-129,IL2RG,4.602093,4.29306605771672e-128,MEF2C,4.252065,1.6009209407956396e-133,VAV3,5.0879383,1.0048789694375204e-132,SERPING1,4.4998474,2.3650636434637224e-111,RAMP2,6.3114653,3.355212407866411e-144,PIK3R5,5.384573,1.4796649736888063e-89,ZFP36L1,1.8389286,6.329839836640974e-38,KCNQ1,5.15759,2.83679737280559e-35,KLHL5,4.718306,6.09817357615501e-69,ARHGAP29,3.9834895,2.4378361959211637e-61,STEAP4,3.678492,5.048356451949094e-19,ARHGAP25,4.166846,1.280610150666722e-24,PLCE1,6.8904753,1.8199763562088963e-34,TNFRSF11A,8.341981,1.4590271846300568e-18,RNF125,3.9752145,9.375838174176712e-07,ASPA,6.390623,7.340996113619692e-11
PHLDB2,3.9145877,3.460384629648343e-129,LCP2,4.450708,5.516534745837586e-128,RPL29,1.8494035,3.0748650314415542e-133,STK4,4.467766,2.82878782591993e-132,CNTN1,6.2079897,9.358111439030026e-111,CPNE8,5.273072,8.268088423403354e-144,NCR1,7.8888574,8.105660217747578e-89,PTPN13,3.7759044,1.2014851578007167e-37,FAM49A,4.286003,4.385163847502189e-35,RALGAPA2,4.389079,1.3955165415216667e-68,ITIH5,4.4326687,5.940597613630637e-61,COL4A1,3.1187162,7.086872214443234e-19,SLAMF1,5.239053,1.5585669465606846e-24,RAPGEF5,5.501529,3.222465319543774e-33,TIE1,6.199089,1.5806449655654406e-18,TIAM1,4.4927483,9.375838174176712e-07,EMX2,6.1144624,7.888742684722657e-11
LIMA1,3.3510845,4.644793252714726e-128,CD40LG,7.32605,2.9067194027524882e-127,RPL9,1.6386402,3.590628002898691e-133,ITK,5.197579,8.381063800236732e-132,SPOCK1,7.4213495,1.7665310106069e-110,ICA1,6.9529057,9.240351473916182e-144,CLIC3,7.3404384,3.03257257878516e-88,CD9,3.250916,2.272369129898975e-37,SNX2,3.7953322,5.78736373499996e-35,ATP13A3,4.658713,4.6834522144560976e-68,CRIM1,3.198864,3.91591303831966e-60,SMOC2,3.6528256,8.026956564437131e-19,IL2RG,4.2998533,2.116768192013239e-24,CD9,3.6274803,7.020812091925284e-33,SASH1,4.769015,1.909865496668376e-18,SPOCK2,4.3591523,1.009038172727729e-06,RAB32,6.022619,9.154516336496435e-11
TFPI,4.160603,2.6022232583386022e-127,ARHGAP25,4.395193,6.295583215051162e-126,SLIT3,4.7925625,4.079049999278286e-133,PLAC8,5.4072824,1.2379740563026042e-131,CDK14,4.890868,4.126730553623502e-109,KCTD12,5.472842,2.038636424709376e-143,TES,5.0577884,1.1006214435188773e-87,CAV1,3.7441854,2.485465923661463e-37,TMEM154,4.515898,8.128268853483045e-35,TCF4,3.8444924,1.3017941934574264e-67,MYO1D,3.2145674,4.3600982982509574e-60,TPM1,2.9592965,8.242055269809956e-19,SH3KBP1,3.0316982,2.866220349287424e-24,LAMA4,4.790413,1.2075012235210827e-32,AKAP12,5.169656,2.239267741813788e-18,TEX30,5.1884384,1.009038172727729e-06,GRIK2,6.612332,9.505463584333398e-11
PAWR,4.1949573,7.178803679889884e-127,PHTF2,3.9905508,1.287103819271018e-125,COX7A1,4.652777,1.080563210056879e-132,MCTP2,5.21171,3.116812332017497e-131,PLSCR4,4.771544,7.948365643006303e-109,TEK,7.348989,3.1427349655744727e-142,CD226,5.510998,1.1436732302037466e-87,INPP4B,3.1277626,3.055667094291383e-37,DAPK1,4.9767513,2.5281129182736237e-34,MAGI1,5.2926593,1.6187422642413684e-67,PIP5K1B,5.411091,1.2210726984007462e-59,ZBTB20,0.9851222,1.4988366826330333e-18,FAM49B,3.9873598,4.173052513645661e-24,GAB1,5.3112664,1.499180049255249e-32,LRRC1,6.4462204,3.2034762411444998e-18,GPSM3,4.1745625,1.0451214465711522e-06,SERPINE2,6.71949,9.505463584333398e-11
PLEKHH2,4.2970924,4.865824632595907e-126,OSBPL3,4.3600774,2.734149182696639e-122,RPL27A,1.594266,1.0917873762320466e-131,SYTL3,5.149884,6.859467635283321e-129,GAS1,6.3148265,1.0101948565016048e-108,TGFBR2,3.6821277,3.976024566102386e-142,HSH2D,6.716698,3.1371038546552743e-87,NBEA,3.644052,9.079110628799117e-37,CSF3R,8.942658,4.458270067343737e-34,NPDC1,5.6830664,7.13282582816988e-67,POU6F2,6.3577127,2.260182235922464e-59,MRVI1,3.4458253,1.9502978868048147e-18,RAC2,4.207801,4.318017299932523e-24,MARCKS,5.1257305,3.702758876257894e-32,AC007319.1,5.00143,4.7027387312846506e-18,TMEM238,4.7400055,1.1400361443336617e-06,PRKD3,5.0403814,1.2172520075143211e-10
PMEPA1,4.5785666,1.6954878199411554e-123,STAT4,4.3414993,4.503716681458273e-122,BTF3,2.2269368,1.34420980873014e-131,STK17B,4.6468124,1.0339149223513412e-128,PCOLCE,4.8711586,1.9898425078200065e-107,NUAK1,6.143948,2.323101496514715e-139,DTHD1,6.671417,4.642506442059024e-87,PLEKHH2,3.7608895,7.84894507658171e-36,RAB31,4.045624,4.8030639304980015e-34,PCSK5,5.222259,2.43365216471512e-66,MKLN1,1.828589,2.6109398894932286e-59,NHS,3.5636106,9.282390160835389e-18,CD28,5.1954436,1.0355417526398395e-23,FRMD6,5.873054,6.589770232615381e-32,PALD1,6.8290462,5.006546575047793e-18,SKAP1,4.780885,1.1400361443336617e-06,RBFOX1,7.9008417,1.2307224005244865e-10
ITGA1,4.1817336,2.5518232793961255e-121,GNG2,4.3343844,2.693631307150317e-121,RPS7,1.7985473,1.3859700484110148e-131,LINC01934,5.6441555,2.435005605777523e-128,TCF7L2,4.407805,2.0813377920944066e-107,EPB41L4A,5.692701,3.736150655759683e-139,CELF2,4.4167075,7.753980923220378e-87,P2RY14,4.930466,8.80699433150741e-36,CPVL,5.8233714,6.536801304843837e-34,PDGFB,6.1557555,5.964261032528755e-66,HIP1,3.5777495,2.685750652412198e-59,SNED1,3.156109,1.0581753928781854e-17,TBC1D4,4.0211616,1.1614757115173141e-23,NAALADL2,4.5708537,7.175879377679392e-32,SNCA,6.702784,5.006546575047793e-18,TCF7,4.4056373,1.1400361443336617e-06,MLEC,4.9951534,1.6282676421414854e-10
NCKAP5,4.420704,4.298485492286206e-121,EZR,3.9656022,3.962579917090404e-120,PEBP1,3.044261,3.8944349245464933e-131,EFHD2,4.8222923,5.371061471309208e-128,DNM1,6.3868465,7.51770153853819e-106,ARHGEF28,6.410484,1.3461544342295608e-138,LIMD2,5.1509624,8.477929000347212e-87,CHN1,3.8610694,1.3128178049858117e-35,TFEC,9.794352,7.509336957992719e-34,CD93,5.9210763,8.856046727088963e-66,PARD3,4.357999,9.644417834512362e-59,EHBP1,2.3884318,1.1112518525835652e-17,PLCL1,4.1876736,6.948479725936385e-23,ADD3,3.4210844,9.860169663563044e-32,FOXP2,6.4416175,5.514165850102268e-18,HMGN1,3.7558625,1.1400361443336617e-06,HMG20B,5.511066,1.748866711701397e-10
TNS1,3.8304946,8.303565190423717e-121,PRKCH,4.2086143,1.0759362960832756e-119,CPM,5.125286,4.879093439609089e-131,PIK3R5,4.996548,6.524574639825841e-127,ZFHX4,6.993085,1.408196931643806e-105,GRB10,5.9371777,1.8735700919222792e-138,RIN3,5.142522,1.2692499279405332e-86,ITIH5,3.67121,1.958369851394932e-35,SPINT2,4.9841733,9.221086410845983e-34,NOTCH4,6.393384,5.613335125566431e-65,NCKAP5,4.7695355,1.1577898395804098e-58,CACNA1C,3.2296424,1.3821000212247995e-17,ZNRF2,3.919484,1.1464721372761868e-22,ITGB4,6.737612,2.6926334506819525e-31,THSD4,6.4046926,5.7882156811304355e-18,RASSF5,4.277991,1.2292744579272868e-06,PPFIBP1,5.359437,1.7579968396116434e-10
MT2A,3.014265,4.780936335486833e-119,HCST,4.577797,4.6238911647472885e-118,MT1E,4.447832,4.8718103236894995e-130,CELF2,4.319512,1.2890152328165334e-126,MEG3,6.797673,4.983217105923693e-103,LNX1,6.9268136,5.2271806292519305e-138,SLFN12L,5.189559,1.2699078516914484e-86,FILIP1L,2.985706,4.0808964388197773e-35,RASSF2,4.298729,1.3468041102684768e-33,FRYL,3.1719887,7.093364206074815e-65,UBA2,3.2382371,1.6125749547830396e-58,CLMN,3.2108283,1.676773595014528e-17,PRKCQ,4.263155,1.1987330668545481e-22,GULP1,5.0047145,1.1675499324801172e-30,FLT4,8.143854,1.3118826292258114e-17,CKLF,3.7284355,1.2559696018878562e-06,CDH3,9.601719,2.0337705872138607e-10
PPP1R14A,4.6755257,6.25628962595075e-118,LIME1,4.7700996,8.76479918565087e-118,RPS8,1.3068508,9.594174791523275e-130,AOAH,5.3423085,1.9560621269035484e-126,PTPRS,4.9991226,1.1310438311967502e-102,RNASE1,7.05586,7.6646506851307e-138,DOK2,5.5250497,2.2881835679461988e-86,CD81,1.9663709,7.748359051153841e-35,LRRC8D,4.2499843,1.4445466490055752e-33,RIN2,4.741666,8.894922791953792e-65,IGFBP7,3.1271825,5.51862730504747e-58,ABCC9,3.1941342,2.2902391156477998e-17,SRGN,3.9411108,1.2384892835639317e-22,IFNGR2,5.0234284,1.7681994468678353e-30,TM4SF1,5.425345,1.4703456293189812e-17,EZR,4.121428,1.2839614318969792e-06,GMPR,7.637239,2.0740512946608082e-10
MYO1B,3.8735301,1.7149736792461133e-117,SMAP2,3.9023418,6.883579505914756e-115,RPL15,1.8521397,2.138792989227096e-129,STK17A,4.539337,2.2234722458550832e-126,SOD3,4.6949816,5.937860201207956e-102,RAPGEF4,7.331923,2.509374846297958e-137,ITGAM,6.445859,1.1199885793054091e-85,PDE5A,3.5136344,9.039877147383121e-35,NCKAP1L,4.053806,1.607494425239898e-33,PDE4D,4.677609,1.2883702260804728e-64,TACC1,2.0420392,7.60644438046709e-58,ASAP1,1.8899373,2.6420076431829127e-17,GMFG,3.629758,1.8640107080001513e-22,ALCAM,5.8709974,1.771357440353889e-30,LYVE1,7.342596,1.487869572991278e-17,CMTM6,4.064787,1.510245593390623e-06,FARP2,5.3750157,2.2424550669652447e-10
SLC38A2,2.3733811,4.5199005359063115e-115,IKZF3,4.5195146,1.1133460298308749e-113,RPS16,1.8037963,2.564871044913206e-129,ARHGAP26,4.461944,3.161751157644689e-126,PLA2R1,5.1669426,2.1426024863669695e-101,FLNB,5.938443,7.414711813717315e-137,TBX21,6.392775,7.261884890619077e-85,ACTA2,3.9992485,1.4882846824410045e-34,SLC8A1,4.3027315,1.8291905812693154e-33,HLA-DRA,5.301435,4.583125818933251e-64,ZBTB16,3.0263062,1.852517949234237e-57,NEAT1,1.096641,2.867319826032929e-17,SARAF,2.6492233,6.8540507061717725e-22,AGAP1,4.1581764,2.00938008352444e-30,PTPN14,5.133276,1.787770506993618e-17,DPF3,5.6878867,1.6344980818840094e-06,VEPH1,8.929752,2.3254196533612928e-10
