0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p,7_n,7_l,7_p,8_n,8_l,8_p,9_n,9_l,9_p,10_n,10_l,10_p,11_n,11_l,11_p,12_n,12_l,12_p,13_n,13_l,13_p,14_n,14_l,14_p,15_n,15_l,15_p,16_n,16_l,16_p
COL6A3,5.7148423,3.6834366262158804e-221,TRAC,6.2509804,2.2073420851409368e-218,NR2F2,5.6337314,3.4614486541606225e-216,CD3E,6.5576415,9.358089293534589e-207,DCLK1,7.0028014,1.6676341411034515e-230,ITGA6,7.137041,1.5265632705186834e-232,AOAH,7.6861987,1.0060625199015113e-168,TFPI,4.9002347,5.018424110248588e-70,HLA-DQA1,5.200946,6.57379766802103e-55,AFDN,6.5422854,1.0375204794681121e-109,DLC1,4.733512,8.897982978484606e-99,EBF1,3.4263413,9.900427359831816e-31,IL2RA,7.127491,6.171988534124123e-38,CADM1,7.60709,1.658174613061059e-58,ST6GALNAC3,7.4108114,1.676413339679613e-32,CARD16,5.258432,3.835884419576833e-11,MLANA,10.113932,1.55358826085999e-20
CPE,5.42862,3.938544270387176e-219,PDE7A,5.05707,3.576387053977425e-216,NET1,6.6591563,1.275526785023541e-215,ITGAL,6.1318917,1.7134762882706207e-203,ABCA9,8.875448,2.8352594980788247e-229,ABLIM1,6.3047113,1.3147285687645593e-222,KLRB1,8.153457,2.7925371768650916e-166,ID4,5.0249777,5.358688330362219e-70,MPEG1,10.844084,1.6016653350841372e-54,ARHGAP31,6.424116,1.1914857389825252e-109,RBPMS,4.7240815,1.0092002388504771e-98,LAMA4,3.9597697,1.1550522309647234e-30,TNIK,5.1866007,4.511714776241663e-37,COL28A1,11.15347,8.949057777721204e-58,MRC1,9.962513,1.73086756477393e-32,PTPN7,5.4176598,6.960063990720507e-11,SNCA,8.84972,1.564739596102798e-20
ADGRF5,5.8400173,4.2442778138466176e-218,STK4,4.7721486,9.985378167963376e-211,RRAD,6.7563405,3.440159552105093e-213,CD3G,6.5614305,1.7134762882706207e-203,C1S,6.566147,1.3369967413966318e-227,NOSTRIN,9.218158,2.26753731238694e-216,PYHIN1,7.2013154,4.1143914903212794e-166,ABCC9,5.2070017,1.8129370152460842e-69,IFI30,6.7026014,2.302673147786142e-54,RUNDC3B,8.230864,2.12832708325842e-109,APBB2,4.8580065,4.592666573809281e-98,PARD3B,3.6094122,1.3199483431053392e-30,CASK,4.019838,3.018102452894117e-36,PPP2R2B,6.3559356,2.689450870638424e-56,SEMA3D,8.73159,4.694155095175568e-32,CD96,5.277532,7.675815441040533e-11,STMN1,7.4982443,1.6170422916340415e-20
LGI4,5.8323116,6.640829273555449e-216,CYTIP,5.620875,1.6725044670522358e-208,SOD3,5.7958694,3.8258732433015284e-213,IL32,5.9783454,7.422824801577201e-203,ABCA10,7.6399007,1.4850222210616898e-227,CCL14,9.753125,9.945677601020064e-215,SPON2,7.3723993,2.1962734907954156e-163,SMOC2,5.297763,6.286381343426427e-69,LYZ,7.9526205,3.746969428987493e-54,DOCK9,5.244091,6.4943006787955e-107,PHLDB2,5.005051,5.87356511573738e-98,CHSY3,4.2641263,3.8549059525060525e-30,RIPOR2,4.306386,1.7822398940393224e-35,GRIK2,9.118339,2.8682340759875857e-56,RELN,8.870532,7.02023841054431e-32,HOPX,4.970522,1.1969870065331367e-10,LINC01320,10.514752,1.7931743273700216e-20
IGFBP5,5.308745,4.6156464486644705e-210,CD3D,6.3290977,2.4200482106071326e-206,ZFHX3,5.3138237,1.881331287795329e-210,PRKCB,6.1091046,2.269187436203111e-202,MMP2,8.181333,2.3658312283898025e-225,CD74,5.6090646,7.960954445422565e-207,EFHD2,6.629098,4.496312739356956e-163,MYO1B,4.6755295,5.004096031874574e-68,TLR2,7.721751,1.4332790260587178e-53,PLCB4,6.623225,1.008060592593246e-106,ARHGEF7,4.3810883,9.73003577615253e-97,EPS8,3.1821544,1.1089388302711307e-29,ITK,5.2615724,2.2024504133055532e-35,DMD,6.3226285,4.267928776070326e-56,FRMD4B,6.6410704,2.797213973186189e-31,HCST,5.238326,1.488066334208747e-10,PCSK2,9.915586,1.9209485531745165e-20
TPM1,4.430141,7.067855563173775e-209,AC079793.1,5.310793,1.5571189989606285e-205,C12orf57,3.4555516,2.4443072749534928e-210,SRGN,5.651813,7.5226994373846325e-202,SLIT2,8.0594425,2.78813718039037e-225,PTPRM,5.7897835,2.470654201343341e-202,CD7,7.5102735,3.1749164583774117e-152,SLC7A2,5.1383624,5.4448255810988e-68,FGD2,8.877203,1.7327034801086286e-53,IFI27,6.73838,5.953063156363934e-105,LAMA3,5.550713,1.0331742578694384e-95,PRRX1,4.010492,3.3690527192896785e-29,ANKRD44,4.2866898,2.298922051318491e-35,NCAM1,8.431507,5.341894995194141e-56,MAGI1,6.59763,6.749646876019446e-31,SYTL3,5.1863456,2.0062211950890058e-10,BMPR1B,9.346375,2.7113474254152467e-20
TPM2,5.450917,7.398546422968539e-206,CD3E,6.1748066,1.6076975953521158e-205,CRIP1,3.066384,3.1027861940011657e-210,TRBC2,6.206763,1.046134217246213e-199,FBLN2,7.733253,1.3219781965832222e-208,CDH5,8.016847,2.8775210127731726e-201,CX3CR1,8.142114,1.765941491922149e-150,COL1A1,4.8584228,3.1488534906968574e-67,WDFY4,8.410695,5.232255544301512e-53,CXCL12,6.06205,2.3913178290051068e-104,JAG1,5.3167157,1.002969663098686e-92,DST,3.441532,4.53596169433398e-29,EMB,4.992577,2.838160075932696e-35,EHBP1,4.57222,1.4334943013251548e-55,ERG,7.332143,2.4042210379695618e-30,TSTD1,5.203096,3.0664723474021246e-10,SLC16A10,9.196915,3.096289541220518e-20
NR2F2-AS1,5.3655295,4.403682035082526e-205,PAG1,5.357397,5.426072986428611e-205,PLN,6.9721794,3.2025771209531305e-204,PZP,6.5857253,9.214030605885368e-199,COL6A3,6.553094,1.5853457542552484e-206,CLEC14A,7.9829607,1.0859268434664597e-198,ITGB2,6.534428,2.980908668785681e-148,SPARC,4.200627,6.611462671591316e-66,HLA-DPA1,4.562487,5.791065444724544e-53,ABCB1,7.1332,2.876745491369819e-104,NTRK2,5.5817847,2.9316825128564835e-92,EPB41L2,3.52987,6.991854440547679e-29,CD27,6.455774,8.41595071261889e-35,NKAIN3,11.830267,5.4511328315386624e-55,RHOJ,6.2403183,3.332849279602418e-29,AFF3,5.277127,3.4509112877689607e-10,OCA2,9.838471,3.554752977242037e-20
NOTCH3,5.425487,1.8640235774925084e-195,RIPOR2,4.84779,2.647226121861393e-200,NOTCH3,5.9729624,1.9206200658676572e-203,GZMM,6.4860826,1.3366319486101474e-197,MIR99AHG,6.6980987,2.9363498614657598e-205,ZNF385D,7.596644,7.012905133957222e-198,GZMM,7.009861,2.1147649378767294e-147,TRPC6,5.1769257,4.243278189479261e-65,HCK,9.037387,7.008955906162834e-52,MAST4,5.8452644,2.940285270137856e-104,NOTCH3,5.522587,3.6217428865375603e-92,COL3A1,4.006055,9.191954228603133e-29,ETS1,3.6754973,2.0980647253548688e-34,DST,4.696135,5.202574944551849e-54,BACE2,6.4890747,1.0143020923693824e-28,MATK,5.4828343,4.2881090285756446e-10,CRABP1,11.939617,5.700067387122241e-20
LINC00989,5.8824687,6.278126300005255e-194,CD52,5.593537,2.913614174223836e-199,CCDC3,6.196868,2.3891109092959018e-203,CD53,5.945246,4.753730417008824e-197,ABCA8,7.8253617,1.1359975321507432e-204,HLA-DRB1,6.3056264,1.0282068700818922e-196,BIN2,6.5667043,1.791922666121388e-144,DLC1,4.3855834,9.68648401630656e-65,TBC1D9,5.102822,3.397960762683495e-49,CD74,5.293524,2.940285270137856e-104,UTRN,1.4553074,1.5640813631502956e-91,RBPMS,3.2592971,6.443170205687876e-28,CD53,4.87741,5.216959526283913e-34,IL1RAPL1,8.840616,8.773998415133864e-54,ITGA9,6.5466986,9.710612043731462e-28,LSP1,4.827579,6.044912566783618e-10,BACE2,7.2620587,5.9076350336851e-20
